Genus,E1 (Confirmed),E2 (With Conditions),E3 (Uncertain),U (Unconfirmed),P (Poisonous),Total taxa
Agaricus,70,4,3,1,2,80
Agrocybe,9,0,1,0,0,10
Amanita,68,10,5,8,10,101
Armillaria,10,5,1,0,0,16
Aureoboletus,8,0,2,0,0,10
Auricularia,21,0,0,0,0,21
Boletus,48,0,4,0,2,54
Butyriboletus,10,0,0,0,0,10
Calvatia,9,3,1,0,0,13
Cantharellus,46,0,1,0,0,47
Chroogomphus,11,0,0,0,0,11
Clavariadelphus,10,0,0,0,0,10
Clitocybe,15,2,0,1,2,20
Coprinopsis,4,3,4,0,2,13
Cordyceps,4,0,6,0,0,10
Cortinarius,66,2,5,5,3,81
Entoloma,10,1,7,1,4,23
Gymnopus,10,1,0,0,0,11
Hebeloma,5,2,2,2,1,12
Helvella,16,3,1,0,2,22
Hygrocybe,12,2,5,1,1,21
Hygrophorus,39,0,0,0,0,39
Inocybe,2,0,7,2,0,11
Laccaria,32,0,0,0,0,32
Lactarius,68,8,2,0,10,88
Lactifluus,34,0,2,0,0,36
Laetiporus,9,1,0,0,0,10
Leccinum,14,1,1,0,0,16
Lentinus,30,1,0,0,0,31
Lepiota,9,0,6,1,1,17
Lepista,10,2,0,0,1,13
Leucoagaricus,5,0,2,2,1,10
Lycoperdon,16,9,1,0,0,26
Macrolepiota,16,1,0,0,0,17
Marasmius,21,0,3,0,0,24
Melanoleuca,16,0,0,0,0,16
Morchella,17,5,0,0,0,22
Mycena,7,2,13,0,0,22
Ophiocordyceps,5,0,21,0,0,26
Phallus,8,1,2,1,0,12
Pholiota,17,2,1,0,4,24
Phylloporus,12,0,0,0,1,13
Pleurotus,32,0,1,0,0,33
Pluteus,16,0,2,0,2,20
Psathyrella,10,2,1,1,0,14
Ramaria,59,7,2,1,3,72
Rhizopogon,9,2,0,0,0,11
Russula,137,6,11,1,6,161
Scleroderma,7,1,0,2,4,14
Suillus,37,4,0,0,1,42
Termitomyces,29,0,0,0,0,29
Trametes,5,1,10,0,1,17
Tricholoma,31,10,2,0,8,51
Tuber,38,0,0,0,0,38
Tylopilus,8,1,4,1,1,15
Volvariella,8,0,2,0,0,10
