Genus,Taxa included in this study,Total species number* (*From speciesfungorum.org),% of total species included in this study
Agaricus,80,574,14%
Agrocybe,10,116,9%
Albatrellus,9,23,39%
Amanita,100,708,14%
Armillaria,16,73,22%
Aureoboletus,10,41,24%
Auricularia,21,38,55%
Boletellus,8,57,14%
Boletinus,6,12,50%
Boletus,54,279,19%
Bovista,9,99,9%
Calvatia,13,64,20%
Cantharellus,47,179,26%
Chroogomphus,11,23,48%
Clavaria,7,181,4%
Clitocybe,20,533,4%
Clitopilus,6,189,3%
Collybia,7,253,3%
Coprinopsis,13,153,8%
Coprinus,7,161,4%
Cortinarius,81,3186,3%
Craterellus,7,37,19%
Entoloma,23,1857,1%
Flammulina,6,18,33%
Gymnopus,11,204,5%
Gyromitra,5,44,11%
Gyroporus,7,34,21%
Hebeloma,12,355,3%
Helvella,22,124,18%
Hericium,6,16,38%
Inocybe,11,1000,1%
Laccaria,32,82,39%
Lactarius,88,638,14%
Lactifluus,36,186,19%
Laetiporus,10,18,56%
Leccinellum,6,17,35%
Leccinum,16,132,12%
Lentinus,31,122,25%
Lepiota,17,564,3%
Lepista,13,67,19%
Leucoagaricus,10,180,6%
Lycoperdon,26,190,14%
Macrolepiota,17,44,39%
Marasmius,24,952,3%
Melanoleuca,16,221,7%
Morchella,22,98,22%
Oudemansiella,6,33,18%
Phallus,12,43,28%
Phlebopus,5,17,29%
Pleurotus,33,206,16%
Pluteus,20,386,5%
Psathyrella,14,689,2%
Ramaria,72,296,24%
Retiboletus,8,12,67%
Rhizopogon,11,224,5%
Rubroboletus,5,12,42%
Russula,161,1332,12%
Sarcodon,5,45,11%
Scleroderma,14,63,22%
Sparassis,6,10,60%
Strobilomyces,6,42,14%
Suillus,42,107,39%
Terfezia,6,39,15%
Termitomyces,27,44,61%
Thelephora,8,57,14%
Tricholoma,51,377,14%
Tuber,38,160,24%
Tylopilus,15,127,12%
Volvariella,10,87,11%
